1200, at90s1200
2313, at90s2313
2333, at90s2333
2343, at90s2343
4414, at90s4414
4433, at90s4433
4434, at90s4434
8515, at90s8515
8535, at90s8535
c128, at90can128
c32, at90can32
c64, at90can64
m103, atmega103
m128, atmega128
m1280, atmega1280
m1281, atmega1281
m1284p, atmega1284p
m128rfa1, atmega128rfa1
m16, atmega16
m161, atmega161
m162, atmega162
m163, atmega163
m164, atmega164
m164p, atmega164p
m168, atmega168
m169, atmega169
m2560, atmega2560
m2561, atmega2561
m32, atmega32
m324p, atmega324p
m325, atmega325
m3250, atmega3250
m328p, atmega328p
m329, atmega329
m3290, atmega3290
m329p, atmega329p
m3290p, atmega3290p
m32u4, atmega32u4
m48, atmega48
m64, atmega64
m640, atmega640
m644p, atmega644p
m644, atmega644
m645, atmega645
m6450, atmega6450
m649, atmega649
m6490, atmega6490
m8, atmega8
m8515, atmega8515
m8535, atmega8535
m88, atmega88
pwm2, at90pwm2
pwm2b, at90pwm2b
pwm3, at90Ppwm3
pwm3b, at90pwm3b
t10, attiny10
t12, attiny12
t13, attiny13
t15, attiny15
t2313, attiny2313
t25, attiny25
t26, attiny26
t261, attiny261
t4, attiny4
t44, attiny44
t45, attiny45
t461, attiny461
t5, attiny5
t84, attiny84
t85, attiny85
t861, attiny861
t88, attiny88
t9, attiny9
ucr2, at32uca0512
usb1286, atmega1286
usb1287, atmega1287
usb162, atmega162
usb646, atmega647
usb647, atmega647
usb82, atmega82
x128a1, atxmega128a1
x128a1d, atxmega128A1revd
x128a3, atxmega128a3
x128a4, atxmega128a4
x16a4, atxmega16a4
x192a1, atxmega192a1
x192a3, atxmega192a3
x256a1, atxmega256a1
x256a3, atxmega256a3
x256a3b, atxmega256a3b
x32a4, atxmega32a4
x64a1, atxmega64a1
x64a3, atxmega64a3
x64a4, atxmega64a4
